57071 123700
39924 8118 112075
45468 8118 110434
8118 1591 6199
8118 14889 114005
50656 8118 67945
56665 8118 30143
8118 23245 38228
52921 8118 129823
8118 11788 76618
8118 33237 192651
8118 55934 21609
40798 8118 79404
29514 8118 68625
8118 54060 109118
15559 8118 11825
47683 8118 29568
8118 45690 95190
52302 8118 148406
8118 37337 144571
39633 8118 124213
8118 52673 116192
8118 12728 127886
8118 55652 91237
8118 13886 189006
8118 14460 7370
8118 29914 178766
41070 8118 44962
8118 6481 116388
8118 35837 76696
8118 49400 131971
54653 8118 120529
21482 8118 59141
8118 23950 155106
56169 8118 165133
8118 11305 59474
8118 25441 170103
8118 45652 44130
23846 8118 80816
8118 28202 97414
8118 43298 159111
32274 8118 166415
19992 8118 187573
8118 22230 146154
8118 7793 156417
8118 19941 49433
19068 8118 176063
8118 24623 108090
8118 1621 119722
4686 8118 66271
8118 48411 58379
8118 53417 75486
8118 39841 94215
8118 55483 64605
20595 8118 138484
8118 41754 121290
35469 8118 178459
8118 39108 72609
8118 22028 179234
8118 36688 38272
37233 8118 37032
8118 13377 165776
38450 8118 40683
35217 8118 33829
8118 39706 21825
4552 8118 26007
53290 8118 57687
8118 3952 101916
33123 8118 52050
56976 8118 5841
8118 40600 167931
46493 8118 149464
9765 8118 129789
53151 8118 106825
43785 8118 92390
8118 36810 125590
8118 17011 163558
10666 8118 14776
8118 55957 193759
16647 8118 56947
10073 8118 39948
8118 50035 100529
8118 36453 69352
29682 8118 180414
8118 19395 173258
8118 56265 176667
8118 52955 1374
7254 8118 76960
8118 53126 164234
42664 8118 74539
25535 8118 199663
25246 8118 9751
15308 8118 11043
55503 8118 40647
50065 8118 164882
5547 8118 21872
8118 37820 137882
54684 8118 100878
8118 2623 42773
8118 17116 75009
1097 8118 40926
8118 19905 79738
8118 49995 193726
8118 15483 45828
8118 46833 102518
40688 8118 15022
8118 110 65318
8118 48134 183318
8118 73 86699
29690 8118 121204
1746 8118 183459
35629 8118 6115
12282 8118 138393
8118 29400 186224
8118 38573 77223
8118 35260 77055
2107 8118 17389
23574 8118 151526
1865 8118 151268
19991 8118 33617
53370 8118 35528
33968 8118 159147
8118 21941 179965
43701 8118 45976
29515 8118 130023
8118 22053 145081
8118 56063 189304
51750 8118 15066
8118 38417 28304
55249 8118 111473
47075 8118 119214
8118 45926 135681
32926 8118 170321
8118 23301 58598
8006 8118 141781
8118 44720 103666
8118 6261 126671
8118 35195 33675
8118 39775 190285
21189 8118 176642
46515 8118 96416
480 8118 116944
45435 8118 143757
25395 8118 56157
8118 376 122668
8118 50360 9989
26890 8118 101370
19984 8118 190635
8118 6017 95814
18045 8118 68216
4365 8118 30676
8118 22216 180098
8118 13495 143211
8118 10675 156059
8118 40509 12784
8118 34792 90181
49332 8118 196088
46900 8118 160816
8118 39652 156362
51723 8118 164485
11460 8118 152947
8118 17568 94227
11946 8118 180050
35689 8118 38718
8118 52917 110307
8463 8118 153052
8118 50217 119905
52470 8118 22956
8118 34774 159559
8118 22327 88908
47240 8118 128661
8118 5682 37613
