146580 198774
84216 112572 39119
112572 123295 67651
112572 106531 2715
112572 11413 21390
32331 112572 72870
112572 63920 113861
112572 54712 52910
112572 56840 163819
135879 112572 192714
112572 14084 66455
102356 112572 122921
40883 112572 62659
112572 95991 55822
112572 9412 86924
119993 112572 139755
41447 112572 107790
112572 90800 109011
112572 70976 69773
112572 69637 191680
112572 69344 170449
73450 112572 79339
112572 3857 42404
112572 35530 9311
107153 112572 95498
112572 33109 137730
18197 112572 88037
110823 112572 199679
71090 112572 127780
112572 122794 63397
60718 112572 5301
112572 18056 50165
87179 112572 95412
98973 112572 43447
132022 112572 188234
112572 115301 47019
112572 94180 149419
34543 112572 28385
112572 143288 155867
112572 83933 37081
112572 53293 123636
29576 112572 133305
83756 112572 61333
66424 112572 166338
29040 112572 163539
112572 101379 50471
112572 96189 132715
100988 112572 40296
112572 84457 57495
112572 51328 14050
84790 112572 165222
14075 112572 61630
12558 112572 75410
19711 112572 133010
102089 112572 191320
101144 112572 151016
46675 112572 166149
127695 112572 176025
112572 33408 94626
112572 71919 30537
112572 81889 166020
139249 112572 85508
84079 112572 52945
54425 112572 90325
112572 40518 166203
108461 112572 3060
77867 112572 91594
112572 125736 165916
131946 112572 194381
113975 112572 36931
112572 63150 81647
112572 10745 105294
112572 42418 86482
113970 112572 130553
112572 4452 120199
3732 112572 180430
60086 112572 60471
112572 105745 135866
66310 112572 131987
112572 55599 73541
112572 95322 114435
132551 112572 125604
112572 22583 39101
79281 112572 192115
112572 117257 53321
112572 62188 121597
112572 101276 96554
128113 112572 180306
112572 53107 186384
79062 112572 134123
112572 55841 74606
112572 24945 63131
29333 112572 56675
84349 112572 11865
112572 4709 11682
63800 112572 95467
24607 112572 67004
112572 10833 46529
2885 112572 110149
80210 112572 97737
112572 88173 161997
112572 59126 140857
53936 112572 49555
103383 112572 187046
138742 112572 14707
36369 112572 45570
112572 51356 131866
43925 112572 99543
112572 37439 114014
131364 112572 14146
52569 112572 54595
112572 126257 135832
59112 112572 71488
36127 112572 121526
112572 114207 37035
57506 112572 35446
112572 92968 170124
84381 112572 93798
46599 112572 85344
112572 144076 33952
3824 112572 70263
3060 112572 148388
112572 98644 141581
114727 112572 86924
112572 17408 40584
112572 16402 166643
119497 112572 46224
83501 112572 136823
75103 112572 7114
112572 62512 123688
17042 112572 120065
112572 67058 77442
119050 112572 10617
115127 112572 123926
112572 20654 198738
17437 112572 42457
105140 112572 199173
112572 81192 57797
112572 71601 118329
128776 112572 114042
112572 25125 117057
112572 93166 129039
112572 135097 194936
112572 84487 39275
90145 112572 117617
43187 112572 107130
76332 112572 57158
112572 52471 130594
112572 140340 42429
112572 12104 128184
112572 134415 82715
139196 112572 127050
98539 112572 189868
1413 112572 38097
112572 109446 85461
112572 112916 47044
75942 112572 6754
112572 68112 100192
112572 110284 141609
112572 92296 134447
48789 112572 15154
106789 112572 128754
100633 112572 126040
112572 143347 162212
1835 112572 39993
112572 10176 10609
99189 112572 113990
38971 112572 53069
112572 47096 176104
112572 113106 141529
55093 112572 76245
112572 67434 109038
112572 58175 192876
141530 112572 97505
112572 87674 158964
37839 112572 155088
112572 74137 186263
80911 112572 133784
45784 112572 75170
90688 112572 174127
112572 125898 148452
48867 112572 149090
112572 7228 77342
42999 112572 106805
112572 134790 35449
112572 77464 150715
26425 112572 47143
112572 42489 53577
112572 47357 30900
112572 40541 198999
112572 145803 117983
138478 112572 130035
37259 112572 154480
112572 95534 178399
112572 108102 186245
112572 43167 34244
67342 112572 135299
112572 69692 60842
112572 27789 178881
112572 121636 87257
87202 112572 166079
112572 97433 96738
81095 112572 189176
112572 51817 192637
78041 112572 46970
112572 22917 140219
61060 112572 120981
6638 112572 153158
21440 112572 152554
47606 112572 4185
112572 75119 137954
112572 127174 59141
112572 116075 169493
138727 112572 100349
99703 112572 124548
124601 112572 142106
66675 112572 11705
34430 112572 190611
84323 112572 67994
112572 109045 193245
97534 112572 48453
112572 50734 17415
87697 112572 164837
112572 146112 26894
112572 26448 167223
112572 36959 14109
112572 16667 98483
132272 112572 18793
48494 112572 27880
112572 146341 30712
112572 103564 159148
38458 112572 157349
112572 28983 121410
112572 131854 44318
52573 112572 18363
95681 112572 118799
87571 112572 95185
101234 112572 199221
16482 112572 145133
41511 112572 83183
66513 112572 142605
112572 109883 142648
57400 112572 33487
112572 14942 15105
112572 137753 53514
112572 67235 87449
112572 25637 69326
112572 17812 115975
126191 112572 22032
55531 112572 74330
68914 112572 85004
33291 112572 194637
112572 134647 152228
112572 80983 145662
112572 30553 54999
112572 71433 24063
112572 58123 29235
112572 17548 170827
112572 38316 185703
133855 112572 84073
112572 75246 70995
112572 71179 163381
112572 5394 18936
112572 33903 27356
112572 56348 191247
103699 112572 50073
134610 112572 94264
76327 112572 107031
112572 87381 34168
112572 103887 66995
127349 112572 116424
15995 112572 3926
80057 112572 14716
112572 92661 34460
112572 6327 28751
65626 112572 191626
112572 42498 69965
8249 112572 141048
112572 142658 13883
115362 112572 96523
112572 63556 33090
77010 112572 53788
112572 13982 131446
112572 118882 70301
66198 112572 68256
112572 16629 101808
112572 41499 26471
65956 112572 33112
124354 112572 132824
112572 2416 189896
112572 136083 190564
32306 112572 110488
112572 9609 39735
112572 105955 157439
67909 112572 93266
112572 32219 154600
122368 112572 82351
112572 128610 147098
130974 112572 155181
112572 111849 42189
112572 89596 72053
140888 112572 81950
112572 102966 126512
112572 76802 31477
112572 111372 85524
112572 15433 72424
112572 77883 94295
135025 112572 6715
112572 9988 108416
112572 52511 137682
112572 22620 185628
131585 112572 97206
120297 112572 181789
112572 28538 30645
112572 103243 153343
84147 112572 42010
112572 133302 144280
112572 85412 10252
97094 112572 30271
104083 112572 45280
87258 112572 93463
112572 4800 12056
24059 112572 29762
59655 112572 178420
112572 75337 67608
49464 112572 130868
112572 59831 190979
73774 112572 92912
112572 30616 84553
40086 112572 159389
54120 112572 113521
112572 120978 154975
112572 142264 20553
112572 99810 69875
112572 31527 111308
112572 8337 102033
112572 106131 81963
112572 31008 196987
112572 124786 170451
112572 116103 5575
112572 64847 56962
112572 123011 107053
103427 112572 58366
112572 138549 169615
112572 8900 185666
138818 112572 115311
112572 28878 13123
85595 112572 6863
117917 112572 50128
112572 22413 71617
112572 46201 53096
112572 134251 98748
112572 12033 131634
65811 112572 133355
112572 98641 110865
112572 135993 56353
112572 76267 121787
9180 112572 183655
28072 112572 104450
112572 143282 163658
118682 112572 71451
112572 101610 88320
95569 112572 29197
112572 126858 173546
124956 112572 148374
73432 112572 123560
112572 35066 65854
112572 26565 54133
104549 112572 58821
112572 37269 3932
113776 112572 174606
112572 86844 84451
115846 112572 114660
112572 21457 67944
112572 11230 107048
112572 16087 54872
122152 112572 45484
46921 112572 100375
112572 57287 134733
112572 24074 196310
112572 11964 117586
128124 112572 55249
69049 112572 36378
18717 112572 98910
145189 112572 104265
114410 112572 128581
17760 112572 164396
21719 112572 167154
112572 42391 139439
112572 84345 193884
140692 112572 28662
112572 95289 167857
61969 112572 6067
37598 112572 47615
100550 112572 44143
112572 97500 37473
96703 112572 116440
46679 112572 23334
112572 21581 98494
101439 112572 102986
102964 112572 168366
132719 112572 87471
112572 94651 43334
112572 75470 128738
112572 61465 5397
112572 101922 191329
112572 111911 98504
112572 22186 94181
91389 112572 49383
84298 112572 27097
4633 112572 101868
112572 106577 117336
112572 2876 190122
65537 112572 2217
106314 112572 159998
112572 4024 39637
112572 91735 38248
112572 76097 192576
77761 112572 186085
112572 71410 81904
112572 27320 130833
83623 112572 17141
133152 112572 41885
98938 112572 107193
112572 143878 139256
130442 112572 187836
112572 17161 174646
145087 112572 198477
112572 203 40738
112572 24555 50639
112572 144374 51979
36137 112572 31283
112572 144343 173692
112572 128786 142956
112572 133171 13769
30741 112572 39940
112572 81198 50516
127850 112572 18398
112572 83440 83366
112572 19686 136163
16910 112572 23313
112572 35864 12943
112572 130556 161264
122806 112572 113698
112572 133713 11037
112572 85330 50776
112572 117825 169255
128255 112572 34318
88980 112572 153190
112572 92918 57948
112572 130939 8133
112572 134096 156529
10159 112572 56528
112572 5972 111038
112572 33697 161126
112572 84055 187097
112572 132123 47358
112572 66642 140380
97689 112572 189021
112572 35272 53720
112238 112572 96400
112572 13938 93233
112572 83569 142931
112572 19780 129575
145925 112572 6040
112572 109566 138486
112572 32293 99885
84882 112572 44873
125663 112572 183430
112572 54971 136815
112572 1347 144238
112572 134241 51414
112572 106964 123009
89488 112572 57631
112572 49291 75113
85458 112572 29671
112572 24542 126748
112572 61884 90300
1531 112572 167315
127594 112572 198022
112572 116297 155720
112572 85796 125458
112572 64125 15755
112572 61029 6536
60406 112572 121953
98890 112572 87173
73225 112572 80952
128932 112572 28212
112572 15814 87427
112572 66125 39123
40205 112572 38965
71270 112572 19506
112572 60911 21025
81579 112572 114132
112572 27481 35974
90399 112572 90283
142936 112572 149821
112572 20493 170222
27791 112572 118328
112572 138908 67958
112572 89685 128020
13849 112572 71598
137904 112572 97006
112572 92018 105135
143219 112572 140186
112572 143782 79614
110042 112572 62578
120302 112572 102683
112572 1195 74741
112572 31893 143661
112572 39926 132054
27641 112572 92279
112572 88690 152870
112572 102918 143204
116000 112572 89985
40818 112572 73052
112572 97018 131388
112572 17422 21777
11443 112572 18482
112572 101633 9790
112572 52432 165029
112572 71367 27407
93374 112572 179091
112572 27004 51142
114311 112572 158432
19435 112572 194710
112572 51020 101119
94285 112572 183434
112572 134238 43570
397 112572 7835
47307 112572 160896
677 112572 145592
112572 63374 167250
7140 112572 84301
133308 112572 52453
31197 112572 96701
65555 112572 39818
112572 128730 151103
21179 112572 19851
112572 26171 129928
112572 106189 194489
112572 135996 149789
112572 129847 159493
55465 112572 12680
313 112572 140476
112572 35612 165399
26952 112572 17444
112572 115432 121350
79672 112572 138297
111938 112572 62536
112572 42690 83931
60585 112572 61702
116194 112572 10260
112572 18711 26748
112572 130998 11702
73616 112572 26837
113748 112572 52706
112572 132053 66099
112572 141324 115499
112572 36454 125265
112572 92629 191262
12207 112572 159803
28346 112572 10161
112572 113554 195996
54940 112572 162041
112572 119653 150122
83930 112572 56152
112572 95015 18594
112572 64907 101334
112572 40367 132291
112572 44561 168905
112572 105535 134237
126693 112572 44524
138412 112572 187545
112572 125531 24288
110617 112572 194871
36887 112572 183849
136338 112572 114761
86639 112572 65795
112572 103716 100299
54530 112572 53853
57040 112572 195871
116664 112572 192504
112572 48464 35012
112572 20111 57070
37022 112572 20384
41787 112572 104869
16976 112572 158737
26890 112572 123227
112572 134129 40329
22147 112572 19918
53495 112572 122671
112572 18304 136189
113187 112572 182946
24967 112572 51978
112572 90177 61367
57595 112572 134149
63799 112572 133038
112572 98343 117479
96372 112572 41661
112572 12659 76608
99804 112572 95562
103169 112572 162339
112572 9756 69804
112572 134418 56864
112572 2940 78028
112572 46071 66020
124797 112572 9524
18045 112572 60345
108941 112572 62481
112572 37599 130585
112572 6069 10380
112572 109384 113195
112572 67581 86948
126542 112572 262
18598 112572 79215
111867 112572 76438
119504 112572 174091
112572 49440 164270
112572 89708 21943
66022 112572 160043
112572 15548 69840
112572 102322 67946
112572 90113 131056
112572 139528 26529
112572 129358 155394
86958 112572 66957
112572 74507 83552
112572 104248 106772
112572 34806 186489
112572 62492 4386
112572 3299 184410
87976 112572 128289
126110 112572 100711
40887 112572 43394
112572 120378 145132
112572 140871 34085
72963 112572 57581
112572 125568 170806
112572 131812 87857
103365 112572 43328
44053 112572 54468
112572 32725 43628
112572 108764 84144
7058 112572 110426
118410 112572 95330
112572 44296 136140
112572 18965 47297
124113 112572 61821
112572 101083 168612
92363 112572 195611
112572 123591 170854
112572 34443 84956
110506 112572 109940
112572 71448 142795
112572 106978 156439
145491 112572 163510
112572 19540 174155
112572 7975 108209
112572 94356 26946
112572 63033 13061
42552 112572 31295
112572 83319 115295
112572 87424 173134
112572 8942 92994
112572 65365 167623
112572 83258 117149
112572 122897 152942
66568 112572 133092
100639 112572 192397
139127 112572 160380
89410 112572 88703
112572 71167 72000
26987 112572 41113
112572 108030 127116
62814 112572 172501
112572 101479 115264
112572 105457 81689
102345 112572 70754
22240 112572 41899
112572 84397 149409
71542 112572 102358
112572 11803 180916
44867 112572 169258
89302 112572 175990
51869 112572 79051
138987 112572 115177
9737 112572 122510
112572 127989 115736
112572 94032 69219
112572 92010 112900
112572 45465 17770
142840 112572 144063
128465 112572 29439
112572 22071 26404
112572 91334 118874
50975 112572 120783
144282 112572 157264
113565 112572 52408
112572 77596 126443
5021 112572 31224
5056 112572 70163
138904 112572 130738
138750 112572 47410
112572 128654 130128
120997 112572 122180
111398 112572 98639
112572 110531 26077
112572 124606 20091
112572 111417 143990
112572 124067 101849
112572 110951 40239
20744 112572 17566
112572 103687 71252
64087 112572 76001
81406 112572 69596
58639 112572 173216
112572 69937 76498
112572 121315 24755
112572 64894 162520
112572 34384 27014
100411 112572 99469
112572 97532 196495
35289 112572 13486
112572 124927 74410
