20729 75573
697 17851 81603
10033 1810 60351
17387 11199 105247
2392 6731 2897
3305 3033 192001
17803 11808 195531
20143 19147 106121
2399 10313 177292
17539 13759 1239
5234 4214 53851
8700 15340 45462
11032 6384 6533
7667 6313 17886
11698 12450 115437
2623 12585 166114
9377 17038 117193
4103 18773 57865
13511 18188 74816
6863 4540 116192
16278 20017 54656
10188 15101 151261
12170 13991 111222
10876 20118 124218
13762 1639 178368
8726 8303 13032
15034 1920 52375
7200 8174 3338
13433 13937 193885
5671 20404 25099
11823 9491 93202
1412 9629 184500
12437 6501 128365
4912 20696 44940
14923 16495 151526
3162 15022 138151
4852 19299 69906
17084 287 130609
16025 20642 196887
8773 12284 1447
6423 15432 82462
2702 6409 102693
9771 19556 23689
3160 17791 75522
1438 1077 162115
10809 4145 140793
12653 101 18448
12825 610 42630
19376 18233 153791
18975 20101 150656
17229 13522 54023
3411 3734 175537
7435 8965 120884
8127 9471 197714
3296 15196 140328
6561 2806 43364
12029 4071 40027
5842 13526 124200
9141 11288 133837
1678 807 126148
17578 12984 50490
7603 10392 96135
5741 1338 192109
1850 7999 23942
11452 2669 148651
18958 10097 52065
19138 12724 145029
5622 4808 71230
20041 2625 25562
9440 13513 11655
17456 6402 142962
11683 7620 15993
2357 818 47476
17925 16923 43098
4895 3156 46084
17154 5453 106424
17291 14651 46711
18477 1552 147627
19401 18197 68158
17576 20489 5615
6498 3033 185052
8358 18167 126945
14890 17331 167546
19260 10560 179276
16968 2762 183731
15352 2532 71439
1092 6569 173877
16113 14633 170980
1503 19192 34683
18587 9947 116202
19337 8153 155510
2811 16964 112229
9213 20618 56849
7714 6606 18717
17937 20441 126753
19999 3470 98138
14854 7505 162947
12111 10462 40757
15429 12808 126715
723 832 192594
13941 17121 122041
732 3353 111336
3921 11388 105054
4441 10710 138224
18392 12699 99973
12498 2712 86305
14532 10095 78858
1043 3231 18267
1809 5915 64309
2966 8036 192775
7976 9687 179336
2792 17892 126639
19038 8052 197876
4438 10870 22306
20722 14578 123221
178 5078 133853
16445 20243 349
12644 17116 94140
4373 15914 168441
14280 425 178879
18435 14637 115462
2162 3752 123617
3299 6771 155164
10713 821 40254
20180 6413 128244
14652 10987 189306
13611 2092 8304
9360 10907 112898
17878 4358 103459
5072 16535 2864
1344 14120 143064
6172 15974 143653
14786 5507 56665
14181 14372 173170
7405 2296 187984
12529 1348 136387
14163 12161 50440
9197 20590 16968
17694 18450 57639
18937 13044 159474
6549 6268 2187
18967 16499 50947
14081 620 64203
10503 16279 135224
397 8991 74930
17679 3249 125047
3357 13659 135727
10712 852 181944
11129 8037 125869
15883 6036 186664
122 20027 8803
8371 20134 190895
15288 12229 9960
12566 9799 70060
13568 2208 155411
14095 2290 77642
17787 5775 117218
15909 3454 127328
10242 58 54662
17604 10114 54281
18100 7552 84694
