116993 146281
109778 65882 192531
65882 11500 183402
17391 65882 122085
65882 68213 83299
31609 65882 119232
29201 65882 49611
91299 65882 174007
65882 35959 167529
65882 54385 36297
65882 82335 185224
65882 100187 38916
90387 65882 199667
113884 65882 182885
65882 98624 7893
35103 65882 115379
65882 45288 87037
11591 65882 6327
95645 65882 78385
32116 65882 130233
110736 65882 112906
89430 65882 7683
65882 71249 94040
65882 45488 50552
68605 65882 172261
50848 65882 184438
65882 63563 169546
65882 62154 175649
61061 65882 160806
65882 109186 153107
65882 20546 87183
65882 64601 93185
65882 101256 60066
65882 46693 58216
65882 90706 71592
62260 65882 95671
52043 65882 87385
65882 68341 90504
64304 65882 124085
91780 65882 61695
65882 84228 119024
65882 87477 30227
65882 68058 155102
65882 101858 166153
116788 65882 128685
44435 65882 143246
65882 105445 17570
4533 65882 72932
100204 65882 179413
108513 65882 92202
8183 65882 143997
65882 8922 35985
65882 24436 155669
65882 105534 142346
49779 65882 42325
65882 59158 43742
1169 65882 155464
99532 65882 127501
12084 65882 49542
92570 65882 25060
65882 103485 82440
75633 65882 15639
65882 76398 71454
2240 65882 77605
75772 65882 97723
65882 50471 59838
44984 65882 119595
99745 65882 23330
47915 65882 132036
65882 115279 13512
65882 77797 14060
34696 65882 177452
89932 65882 128408
20850 65882 54373
65882 101944 66854
65882 107200 193558
65882 62796 27373
11699 65882 101443
16912 65882 103411
99186 65882 42071
96056 65882 63109
65882 48525 103789
57487 65882 174424
95017 65882 39028
65882 105691 76017
65882 23720 185736
45985 65882 76217
46090 65882 115629
24152 65882 130257
65882 89223 183853
61341 65882 20451
65882 89425 43638
65882 98919 10040
65882 51771 50054
74981 65882 6840
65882 74055 148108
71284 65882 41141
65882 17401 156209
65882 26254 116693
65882 41895 119014
61075 65882 114987
65882 32205 20234
65882 87973 87748
65882 32263 99965
17750 65882 76205
65882 48494 22763
65882 39999 4294
65882 107811 43565
38134 65882 53496
65882 12996 197917
75173 65882 92572
95231 65882 191177
64436 65882 144136
12935 65882 29153
64105 65882 68639
80223 65882 54459
62866 65882 18176
65882 69851 177779
65882 31771 9395
65882 16718 3841
65882 73027 109889
65882 40035 147984
47132 65882 57186
65882 73733 106425
57036 65882 96769
65882 90120 25935
33433 65882 61909
65882 88608 14014
65882 78766 179948
65882 7968 134354
82951 65882 29030
18606 65882 91244
65882 85146 3283
65882 6367 166144
65882 101564 144302
95121 65882 122920
96103 65882 60151
65882 81915 139740
65882 67566 57954
52559 65882 74101
65882 101829 51231
65882 66905 130389
80489 65882 116904
65882 16747 50810
65882 9703 31139
65882 10226 77369
36499 65882 175359
87119 65882 54806
84597 65882 2587
92104 65882 135080
19350 65882 171968
49383 65882 115501
65882 43958 110433
85812 65882 99976
65882 101835 50511
65882 101535 102855
75903 65882 197779
15978 65882 72201
116656 65882 67844
15034 65882 55550
62180 65882 76305
65882 52828 3248
65882 59230 192778
65882 11539 128031
112421 65882 56439
65882 87370 43688
63695 65882 36474
65882 32105 167705
64355 65882 9568
97468 65882 34842
65882 75640 187124
26230 65882 99187
65882 91385 106712
81898 65882 175234
65882 104306 199363
3421 65882 195453
65882 113203 14389
65882 19469 120366
88305 65882 121089
115612 65882 42561
6968 65882 36539
11659 65882 127069
65882 101290 198433
65882 50911 9010
65882 100580 116098
65882 1092 148708
65882 56957 65368
29486 65882 18903
55897 65882 151209
62678 65882 32647
73406 65882 167231
65882 68534 48570
65882 1871 196552
6314 65882 9308
70685 65882 63760
65882 59359 121217
65882 35222 98445
48693 65882 141210
65882 16808 170742
78583 65882 97866
65882 14755 116352
82543 65882 83308
46200 65882 147473
65882 67499 118839
8955 65882 91182
65882 53162 19830
10112 65882 191465
65312 65882 126502
65882 62652 59581
71676 65882 64310
99106 65882 144090
1776 65882 49579
65882 36489 75938
65882 81058 119718
79773 65882 16640
46859 65882 14380
65882 108985 105104
102540 65882 85167
95058 65882 100294
94885 65882 30917
65882 3258 147798
98360 65882 508
3479 65882 123319
65882 105716 157015
65882 33641 124455
104582 65882 120565
32815 65882 95200
65882 70114 28524
106254 65882 20038
65882 35988 19802
94747 65882 15140
65882 101042 21040
13121 65882 123165
83855 65882 159590
65882 6222 18096
65882 78838 6216
108125 65882 135829
65882 40741 116334
62227 65882 121163
65882 35065 89952
98246 65882 146712
52407 65882 74506
65882 864 103493
65882 68648 101607
65882 11871 101276
111554 65882 175513
65882 81765 150812
65882 94546 190446
105891 65882 62818
65882 31662 77296
65882 13194 6209
89062 65882 134922
65882 34076 66922
92354 65882 64448
65882 114051 5356
65882 13893 41901
65882 48988 174227
109559 65882 178014
29094 65882 18904
99682 65882 4281
65882 62024 176425
106173 65882 160339
65882 93011 177589
65882 58127 197608
12300 65882 101433
65882 57229 63718
65882 51633 12212
