54415 137409
24259 31076 113998
19677 52974 15746
29335 3564 148524
18142 3302 162388
16605 39898 62372
20543 48060 23409
30919 42815 19362
41895 20095 162933
33000 9534 66440
22585 29964 116545
9247 41058 91010
52762 53393 7181
32310 36155 147595
34111 46032 14494
25236 47967 152398
8943 8450 19934
44758 3746 57528
14064 43924 106145
42461 17143 177246
18099 21988 148815
28773 13105 94934
47253 8088 118270
46624 36722 139852
44571 23323 156352
2972 38798 49629
32106 45287 91199
22838 8643 23203
676 476 53762
48416 32268 15254
29734 3987 5787
32024 14455 26818
41019 663 182854
7682 52041 129729
30359 49757 3820
29506 2694 132829
1832 16881 90521
53425 21726 157192
9417 49469 94163
27059 48575 48998
35431 25393 88114
35939 7228 21755
15986 44000 67075
37043 45329 141344
43423 32191 78458
13 879 164598
27214 53342 186769
48286 8387 134470
15705 32103 49113
6323 26435 25099
51388 20130 17119
45389 25825 78939
37255 1219 142490
39538 42349 78013
919 43003 121578
33465 26561 168259
50362 10316 159644
30946 17686 165889
7039 43280 46551
31686 18107 21698
29909 49354 45634
44038 50221 179166
52549 36419 88102
17096 13714 67005
28028 48981 31008
53948 10207 195933
35747 47886 112320
16436 18666 147085
30742 20470 24369
30996 7893 185160
22722 21304 49676
44695 17722 76154
53754 41553 84352
18898 32100 117808
18693 35870 58496
26449 8318 157333
22454 49583 131269
43308 32620 78643
24814 19461 183952
43994 16646 41445
18493 7403 42194
32716 48993 61572
48017 17300 135457
33870 23486 88236
4869 38596 137865
25424 40580 59298
44623 5112 171731
47915 34705 36894
24459 13688 177843
17283 13002 47380
7399 16056 85716
8708 12841 25369
50071 6691 63547
41675 53723 129691
2874 6385 146568
41092 32959 152220
1617 7920 20229
34424 22091 183753
30959 26920 153917
2924 39721 50607
54188 50669 75867
21779 22392 173631
122 524 49634
53892 53451 61590
25725 6350 95281
51297 27714 68359
45934 9184 79066
52527 18811 17425
49716 36095 190025
13231 45867 173628
25459 6488 60992
54197 31379 120736
37463 37961 133311
5916 28177 145392
34099 8312 109153
45477 44279 2533
30517 25737 22860
48287 28500 128522
21484 2683 83994
52556 16280 51718
53755 23820 150723
35733 30682 129701
48576 33336 34795
6544 20186 149438
52892 50083 188026
24372 7143 15631
27573 2789 90525
22591 21928 17174
6943 20477 139983
27769 42001 80252
7944 44505 103227
50047 26190 154268
6034 18858 14827
40566 45832 88513
26442 49262 30992
22778 23260 57321
25642 31976 123329
9000 20333 13912
14459 27452 31793
35810 36457 137770
49234 4690 20227
41177 26283 121351
44953 20073 133720
13428 4245 24013
43460 17264 137651
17135 49039 185300
38922 54206 70289
23892 37966 174556
5160 53640 173334
20019 49147 185710
35502 35087 118125
36626 17263 84505
2977 34765 19010
30573 53774 174774
2859 4373 96638
4487 12880 15963
11568 42259 119448
34877 50437 174876
40293 28437 193745
39842 32342 65421
37932 48869 109040
18800 33950 100983
48531 44372 178810
46850 19345 130179
32154 17075 91786
16147 41667 11759
21171 14232 4509
21025 45331 36869
22016 30352 160463
6395 40263 169613
11114 23260 159019
20102 29739 165000
12346 32584 40760
8824 9467 72823
11562 38833 155152
